Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt9449666,2021-06-30,2021-06-30,,Playhouse,https://www.imdb.com/title/tt9449666/,movie,3.6,87,2020,"Horror, Thriller",335,2020-08-28,"Toby Watts, Fionn Watts",,
2,tt6998650,2021-06-30,2021-06-30,,Why Hide?,https://www.imdb.com/title/tt6998650/,movie,3.8,85,2018,"Comedy, Horror",391,2018-03-30,James Edward Cook,10,2020-09-09
3,tt7996170,2021-06-30,2021-06-30,,The Burying Party,https://www.imdb.com/title/tt7996170/,movie,7.8,60,2018,War,97,2018-08-23,Richard Weston,,
4,tt10433452,2021-06-30,2021-06-30,,Judith!,https://www.imdb.com/title/tt10433452/,short,,14,2019,"Short, Fantasy",,2019-06-20,Dorny Sunday,,
5,tt7603180,2021-06-30,2021-06-30,,Random Acts,https://www.imdb.com/title/tt7603180/,tvSeries,,,2011,Short,,2016-12-31,,,
6,tt0068646,2021-06-30,2021-06-30,,The Godfather,https://www.imdb.com/title/tt0068646/,movie,9.2,175,1972,"Crime, Drama",1669166,1972-03-14,Francis Ford Coppola,,
7,tt2543164,2021-06-30,2021-06-30,,Arrival,https://www.imdb.com/title/tt2543164/,movie,7.9,116,2016,"Drama, Sci-Fi",617915,2016-09-01,Denis Villeneuve,,
8,tt3397884,2021-06-30,2021-06-30,,Sicario,https://www.imdb.com/title/tt3397884/,movie,7.6,121,2015,"Action, Crime, Drama, Mystery, Thriller",384262,2015-05-19,Denis Villeneuve,,
9,tt0071562,2021-06-30,2021-06-30,,The Godfather: Part II,https://www.imdb.com/title/tt0071562/,movie,9.0,202,1974,"Crime, Drama",1159554,1974-12-12,Francis Ford Coppola,,
10,tt0108052,2021-06-30,2021-06-30,,Schindler's List,https://www.imdb.com/title/tt0108052/,movie,8.9,195,1993,"Biography, Drama, History",1242810,1993-11-30,Steven Spielberg,,
11,tt0120737,2021-06-30,2021-06-30,,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Action, Adventure, Drama, Fantasy",1701759,2001-12-10,Peter Jackson,,
